layer,split,c_value,l1_ratio,threshold,auroc,average_precision,balanced_accuracy,precision,recall,specificity,step_f1,brier_score,log_loss,expected_calibration_error,error_accuracy,correct_accuracy,process_f1,first_error_exact,error_detection_rate,error_miss_rate,correct_false_alarm_rate,early_detection_rate,on_time_detection_rate,late_detection_rate,mean_signed_localization_error,mean_absolute_localization_error,error_within_0_accuracy,error_within_1_accuracy,error_within_2_accuracy
13,test,0.01,,0.62,0.8360197752473869,0.8045744899323701,0.7545171926395842,0.7614107883817427,0.6730857404860155,0.8359486447931527,0.7145290825018252,0.16682249525694587,0.5042825370191819,0.05117181964760029,0.25925925925925924,0.5021097046413502,0.34195402298850575,0.3452914798206278,0.8796296296296297,0.12037037037037036,0.4978902953586498,0.1875,0.25925925925925924,0.43287037037037035,0.5789473684210527,1.4842105263157894,0.25925925925925924,0.5578703703703703,0.7129629629629629
13,test_error_traces,0.01,,0.62,0.8608381574027854,0.9180916925852964,0.7708818232155011,0.9084158415841584,0.6730857404860155,0.8686779059449867,0.7732420331840927,0.15589254442316366,0.4772626396367947,0.10968178455156187,0.25925925925925924,,0.0,0.25925925925925924,0.8796296296296297,0.12037037037037036,,0.1875,0.25925925925925924,0.43287037037037035,0.5789473684210527,1.4842105263157894,0.25925925925925924,0.5578703703703703,0.7129629629629629
14,validation,0.01,,0.72,0.829319941273418,0.7928678921856183,0.7146836902868032,0.7933110367892977,0.5403189066059225,0.889048473967684,0.6428184281842818,0.17043017224588453,0.5141359431837373,0.05068711996754178,0.23423423423423423,0.5836909871244635,0.3343102959251205,0.35450516986706054,0.8108108108108109,0.1891891891891892,0.41630901287553645,0.11711711711711711,0.23423423423423423,0.4594594594594595,1.0444444444444445,1.6666666666666667,0.23423423423423423,0.5,0.6216216216216216
14,test,0.01,,0.72,0.8401621839763853,0.8103020501184809,0.7360257273129824,0.8140442132639792,0.5740486015589179,0.8980028530670471,0.6732992739983867,0.1645656614909387,0.49896924553433963,0.05419114917373846,0.2222222222222222,0.6835443037974683,0.3354037267080745,0.38565022421524664,0.8171296296296297,0.18287037037037038,0.31645569620253167,0.12731481481481483,0.2222222222222222,0.4675925925925926,1.045325779036827,1.6628895184135977,0.2222222222222222,0.4837962962962963,0.6319444444444444
14,test_error_traces,0.01,,0.72,0.8630057848149726,0.9177457614470644,0.7435460399098937,0.9274074074074075,0.5740486015589179,0.9130434782608695,0.7091475502690456,0.15433656192693992,0.4741399305817054,0.10729924801216585,0.2222222222222222,,0.0,0.2222222222222222,0.8171296296296297,0.18287037037037038,,0.12731481481481483,0.2222222222222222,0.4675925925925926,1.045325779036827,1.6628895184135977,0.2222222222222222,0.4837962962962963,0.6319444444444444
15,validation,0.01,,0.58,0.8310239936529489,0.7917420054997105,0.7438265521034831,0.7347740667976425,0.6815489749430524,0.8061041292639138,0.7071614275584969,0.169232741699659,0.5117483813791228,0.04756938591168482,0.28378378378378377,0.41201716738197425,0.3360840210052513,0.32791728212703103,0.918918918918919,0.08108108108108109,0.5879828326180258,0.21171171171171171,0.28378378378378377,0.42342342342342343,0.4730392156862745,1.517156862745098,0.28378378378378377,0.5833333333333334,0.7319819819819819
15,test,0.01,,0.58,0.8407778303216535,0.8106458275368891,0.7613686905651911,0.746268656716418,0.7106831728564879,0.8120542082738944,0.7280413339596055,0.16434330305513542,0.4981221032842842,0.05287885400863276,0.2708333333333333,0.45569620253164556,0.3397459165154265,0.336322869955157,0.9143518518518519,0.08564814814814815,0.5443037974683544,0.20833333333333334,0.2708333333333333,0.4351851851851852,0.43544303797468353,1.4177215189873418,0.2708333333333333,0.5856481481481481,0.75
15,test_error_traces,0.01,,0.58,0.8612104132365224,0.9151894967502969,0.7781454905986077,0.8990719257540604,0.7106831728564879,0.8456078083407276,0.7938540332906531,0.15461234833978085,0.4750002176966145,0.10540900704639164,0.2708333333333333,,0.0,0.2708333333333333,0.9143518518518519,0.08564814814814815,,0.20833333333333334,0.2708333333333333,0.4351851851851852,0.43544303797468353,1.4177215189873418,0.2708333333333333,0.5856481481481481,0.75
16,validation,0.01,,0.635,0.832744240828061,0.7953944736661522,0.7437921995067949,0.767467248908297,0.6405466970387244,0.8470377019748654,0.6982865656816489,0.16833134998151583,0.5130150910252352,0.048007796953774315,0.26126126126126126,0.4978540772532189,0.3426883308714918,0.34268833087149186,0.8828828828828829,0.11711711711711711,0.5021459227467812,0.18468468468468469,0.26126126126126126,0.4369369369369369,0.6505102040816326,1.538265306122449,0.26126126126126126,0.5540540540540541,0.7027027027027027
16,test,0.01,,0.635,0.8497564558654336,0.8201345738111716,0.7546701639957589,0.7660357518401683,0.6680421824850986,0.8412981455064193,0.7136909135439629,0.15983281793312534,0.48510094000095316,0.04904259937320577,0.2361111111111111,0.5274261603375527,0.32619541023869825,0.3393124065769806,0.8842592592592593,0.11574074074074074,0.47257383966244726,0.19675925925925927,0.2361111111111111,0.4513888888888889,0.6020942408376964,1.4764397905759161,0.2361111111111111,0.5625,0.7314814814814815
16,test_error_traces,0.01,,0.635,0.8713447223276608,0.9219363445189163,0.7692473556613604,0.9089207735495946,0.6680421824850986,0.870452528837622,0.7700845665961946,0.14908071469377965,0.457841162990292,0.10232929739511298,0.2361111111111111,,0.0,0.2361111111111111,0.8842592592592593,0.11574074074074074,,0.19675925925925927,0.2361111111111111,0.4513888888888889,0.6020942408376964,1.4764397905759161,0.2361111111111111,0.5625,0.7314814814814815
17,validation,0.01,,0.57,0.8347946000989681,0.798669160753622,0.7533937502811596,0.7401347449470644,0.7006833712984055,0.8061041292639138,0.7198689445354551,0.16726134720658295,0.508530855930564,0.04771940885753329,0.29954954954954954,0.43776824034334766,0.3557035541513169,0.34711964549483015,0.9166666666666666,0.08333333333333333,0.5622317596566524,0.21171171171171171,0.29954954954954954,0.40540540540540543,0.4742014742014742,1.4471744471744472,0.29954954954954954,0.5923423423423423,0.7612612612612613
17,test,0.01,,0.57,0.8501242084897386,0.8184828600721181,0.7669214445074535,0.7419804741980475,0.7317744154057771,0.8020684736091298,0.736842105263158,0.15965522170331573,0.48652802595876593,0.05060238645497309,0.3055555555555556,0.4219409282700422,0.3544385371354922,0.34678624813153963,0.9305555555555556,0.06944444444444445,0.5780590717299579,0.2175925925925926,0.3055555555555556,0.4074074074074074,0.35323383084577115,1.3482587064676617,0.3055555555555556,0.6134259259259259,0.7893518518518519
17,test_error_traces,0.01,,0.57,0.8708776734783382,0.9198106670330769,0.7869164889806171,0.8996617812852311,0.7317744154057771,0.842058562555457,0.8070796460176991,0.14922463977318426,0.46055609205514864,0.1021429450413102,0.3055555555555556,,0.0,0.3055555555555556,0.9305555555555556,0.06944444444444445,,0.2175925925925926,0.3055555555555556,0.4074074074074074,0.35323383084577115,1.3482587064676617,0.3055555555555556,0.6134259259259259,0.7893518518518519
18,validation,0.01,,0.5399999999999999,0.8449421935768825,0.8145455372094924,0.7671846820135529,0.7444444444444445,0.7325740318906606,0.8017953321364453,0.7384615384615385,0.16159116988434039,0.4925796011703009,0.0459959166257417,0.3063063063063063,0.41201716738197425,0.3513833566584132,0.34268833087149186,0.9256756756756757,0.07432432432432433,0.5879828326180258,0.22747747747747749,0.3063063063063063,0.3918918918918919,0.3357664233576642,1.289537712895377,0.3063063063063063,0.6554054054054054,0.7927927927927928
